Trabajo,Oferta,Numero_Ofertas,Rango_Presupuesto,Ubicacion,Habilidades
Build multiple C# Project in .NET Core with Postgres SQL and Rabbit MQ,194,4,30-250,"Växjö, Sweden",.NET CoreC# ProgrammingPostgreSQLJSONObject Oriented Programming (OOP)
Website for jobs,176,6,30-250,"Branesti, Romania",HTMLWebsite DesignCSSAngularJS.NET Core
Cryptocureency trading bot,20000,0,20000-50000,"Lagos, Nigeria",Jasmine Javascript.NET.NET CoreJava
Fitness Social Media Web App .NET CORE,1174,37,750-1500,"swindon, United Kingdom",AngularJSHTML5Node.js.NET CoreWeb API
Rewrite whole Web Site with all features to ASP.Net 5,4588,5,3000-5000,"Split, Slovakia",ASP.NETHTMLWebsite Design.NET CoreWebsite Build
TATKAL TICKET BOOKING SOFTWARE DEVELOPMENT,34,4,min,"Amolwa, India",.NETSoftware Architecture.NET CoreWindows DesktopJavaScript
I need a Azure  Developer,116,2,1500-12500,"Dungarpur, India",C# ProgrammingAzure.NET.NET CoreRESTful API
Asp.Net Core CSV parsing and import.,448,44,250-750,"otego, United States",.NETSoftware Architecture.NET Core
Development of a RESTFUL api - Given an XML it generates a PDF,30,0,30-250,"Montevideo, Uruguay",.NET CoreXMLRESTfulXSLT
BackEnd Developer,20,27,15-25,"Kielce, Poland",.NET.NET CoreC# ProgrammingASP.NET
"QR based identification card, asp.net core c#",261,9,10-30,"NORFOLK, United States",C# ProgrammingASP.NETSQLASP.NET MVC.NET Core
API Developer Dot net core,124,10,1500-12500,"Chennai, India",Microsoft SQL Server.NET Core
Allambs Design&Logo maker,1127,6,750-1500,"Fateh Pur, Pakistan",Album Design.NET.NET Core2D Animation360-degree video
Expert with C# (core .net) + (API) and Angular (frontend),529,49,250-750,"Barcelona, Spain",Instagram APIAngularJSC# Programming.NET Core.NET
I am looking for a website for my bussiness,374,7,12500-37500,"Jaipur, India",Blog Install.NET CorePHPWebsite Design
Web Developer,9,17,400-750,"Hyderabad, India",C# Programming.NET CorePostgreSQL
Existing Video Calling Project .NETCore Twillio -- 2,305,4,10-30,"Surat, India",JavaScriptC# ProgrammingASP.NETASP.NET MVC.NET Core
projeto de pesquisa,21,5,15-25,"Ibicarai, Brazil",A&E.NET.NET CoreA1 Assessor
"Desarrollo de plataforma ERP en .Net Core, React y React native",15,15,6-12,"Fuenlabrada, Spain",.NETReact.jsReact NativeSpanish.NET Core
