Trabajo,Oferta,Numero_Ofertas,Rango_Presupuesto,Ubicacion,Habilidades
C# desktop app scraper,35,1,10-30, United Kingdom,C# Programming.NET
"Looking for part time asp.net core 2.1,web api developer -- 2",155,2,10000-11000, India,.NETSQLC# ProgrammingASP.NETMicrosoft SQL Server
SharePoint 365 Report,162,6,30-250, United States,SharepointC# ProgrammingMicrosoft.NETMicrosoft SQL Server
Room design,2,0,2-8, Saudi Arabia,.NETSales
We need MCQ questions to assess candidates' skills in the .NET Framework,80,8,1500-12500, India,.NETTechnical WritingResearch Writing
Building Web Application like POPL,1177,11,750-1500, Turkey,PHPWebsite DesignHTML.NET
Windows Application in C#,137,12,1500-12500, India,C# Programming.NETMicrosoft SQL ServerSQL
Ninjatrade strategy base on 2 custom indicators,143,3,30-250, United States,C# Programming.NET
"Teacher/mentor in C#, WPF (.NET Framework 5.0, Core)  -- 2",17,7,15-25, Spain,.NETC# ProgrammingWPFASP.NET
data entry job,17,5,600-1500, India,Research.NET2D Animation.NET Core
C# script task,18,10,600-1500, India,C++ ProgrammingC# ProgrammingC ProgrammingPHP.NET
Agile.net unpacking,21,2,15-25, United States,C# Programming.NETC++ ProgrammingSoftware ArchitectureC Programming
"Backend app C#,asp.net, Admin template",14,4,600-1500, Ireland,.NETSoftware ArchitectureWindows Desktop
Online cinema Ticket booking with payment integration,314,7,30-250, Kuwait,ASP.NETHTMLC# Programming.NET
Need Cloud based web application Few screens,7,8,400-750, India,.NETSoftware Architecture
Desktop Teamviewer Application,149,2,30-250, India,C# ProgrammingC++ Programming.NETSoftware ArchitectureWindows Desktop
Building a recruitment process using PowerApps,135,4,1500-12500, India,SharepointC# ProgrammingSalesforce.com.NETMicrosoft SQL Server
Powershell and .NET,43,4,10-60, Canada,C# Programming.NETPowershell
Asp.net web application-2,164,24,1500-12500, United States,ASP.NETMicrosoft SQL ServerC# Programming.NETMVC
Discord Automation Bot For Reseller Community - Notifications On In Stock Items,53,3,10-30, United States,PHPC# Programming.NETPythonEngineering
StandupUpdate (open source) existing Fleet Managment project,601,5,250-750, United States,Mobile App DevelopmentMicrosoft AzureNode.jsNoSQL Couch & Mongo.NET
Looking for someone that would remotely help me with a small application in C#,23,23,10-35, United States,C# Programming.NETSoftware ArchitectureSocket IO
Bug fixing,27,17,10-30, United Arab Emirates,ASP.NET MVC.NETSoftware Architecture
Stock Management in  Asp.net with Javascript and ajax,175,10,1500-12500, India,ASP.NETJavaScriptC# Programming.NETASP
POS for a small business  (web application C# + SQL server ),177,22,30-250, Lebanon,.NETMicrosoft SQL ServerASP.NETSQLWeb Development
Senior .Net Core (C#) developer,18,30,15-25, Israel,C# Programming.NETMicrosoft SQL ServerSQL.NET Core
"Can u do counting the traffic on road, Simple coding needed using .NET",5,5,2-8, Pakistan,.NETC# ProgrammingSoftware ArchitectureC++ Programming
Need ready made full fledged application,1594,8,75000-150000, India,eCommerceSoftware ArchitectureSoftware DevelopmentNode.js.NET
Mobile web app for controlling screen of PC and sending trackpad and keyboard entry -- 2,1195,11,500-1500,,JavaScript.NETC# ProgrammingHTML5
.Net Developer Required -- 2,138,17,1500-12500, India,PHP.NETC# ProgrammingHTMLASP.NET
Dot net Developer Needed -- 2,377,20,12500-37500, India,PHP.NETC# ProgrammingASP.NETMicrosoft SQL Server
Dot net Developer Needed,131,17,1500-12500, India,.NETC# ProgrammingMicrosoft SQL ServerASP.NETPHP
"Open, edit and save an Excel file using OpenXML in ASP.NET",21,11,10-30, Philippines,ASP.NETMicrosoft SQL ServerC# Programming.NET
Chromium custom browser,23,2,30-250, Australia,Google ChromeChrome OSVPSC# Programming.NET
.Net Developer Required,124,26,1500-12500, India,.NETC# ProgrammingASP.NETHTMLPHP
i need a designer for app,353,13,12500-37500, India,Adobe InDesign.NETMobile App DevelopmentAndroid3D Animation
Ajax running very slow in windows form app c# brwser -- 2,32,4,1999-2000, India,PHPJavaScript.NETC# ProgrammingMySQL
Add Functionality to our Inventory software to automate posting to Facebook Marketplace,415,13,250-750, Canada,C# ProgrammingASP.NETMicrosoft SQL Server.NETFacebook API
Sitecore Tagging Automation,1000,1,250-750, United States,.NETMachine Learning (ML)Website ManagementSoftware DevelopmentWeb Development
Dapper ORM project (convert from EFCore setup),160,11,30-250, United States,C# ProgrammingSoftware ArchitectureSQLMicrosoft SQL Server.NET
Charitable Website In asp.net core,25,5,600-1500, India,ASP.NETWebsite DesignHTMLMicrosoft SQL Server.NET
Need Expert SIgnalar,24,2,600-1500, India,ASP.NETMVCC# ProgrammingMicrosoft SQL Server.NET
I need a vb.net and SQL programmer for medical software,10141,10,6000-8000, United Kingdom,VB.NETSoftware ArchitectureMicrosoft SQL ServerSQL.NET
Creating a new ADO.NET driver,169,10,30-250, United States,.NETADO.NETC# ProgrammingF#HTTP
Twilio Expert is needed for Twilio Conversations API,156,7,30-250, Japan,Software ArchitectureMySQLC# Programming.NET
Supermarket POS with Billing and Accounting,204,9,1500-12500, India,C# ProgrammingSQL.NETSoftware ArchitectureASP.NET
Build payroll software -- 2,551,14,250-750, South Africa,PHPSoftware ArchitectureC# Programming.NETSoftware Development
i would like to develop desktop app for PHP portal,1158,17,750-1500, Qatar,.NETSoftware ArchitectureWindows Desktop
Build  C++ GUI application with high security level from reverse enginnering or crack  Login Online,310,3,30-250, Indonesia,C# ProgrammingC++ Programming.NETC ProgrammingPHP
Desktop software development for Windows 10 operating system,688,13,250-750, Italy,Windows DesktopSoftware ArchitectureC# ProgrammingC++ Programming.NET
