"pais","Media_sueldo","Mediana_sueldo","Sueldo_minimo","Sueldo_maximo","Numero_plazas"
"Argentina",40104,40104,40104,40104,1
"Australia",66952,66952,66952,66952,1
"Cambodia",12462,12462,11254,13670,2
"Canada",27953.3333333333,24020,15405,44435,3
"China",29392.125,36469.5,2990,51940,8
"Guatemala",4690,4690,4690,4690,1
"Hong Kong",44290.5,44290.5,10345,78236,2
"India",24859.7619047619,9427,500,160132,21
"Italy",12816,12816,12816,12816,1
"Netherlands",38553,38553,38553,38553,1
"Poland",26266,26266,26266,26266,1
"Romania",21500,21500,21500,21500,1
"Russian Federation",16221.6666666667,18845,6220,23600,3
"Serbia",77723,77723,77723,77723,1
"Singapore",11747,11747,11747,11747,1
"South Korea",28886,28886,28886,28886,1
"Switzerland",95140,95140,95140,95140,1
"Ukraine",25949.3333333333,15360,14424,48064,3
"United States",43223.2857142857,19360,12305,143775,7
